№ п.п.;Тип ЗРИ;Изготовитель (сокращенное наименование);Изготовитель код ОКПО;Вид излучения;Информация о радионуклиде в составе ЗРИ;;;;;;;;Категория потенциальной опасности ЗРИ ;;Минимальная активность;Максимальная активность;НСС, лет;Чертеж (изображение);Класс прочности ;;Размеры,мм;;;;;;;;;;Дополнительная информация;;;;;;Тип капсулы, модель
;;;;;наименование радионуклида;символ радионуклида;вид превращения;период полураспада в соответствии с ПП № 1069;;МЗУА, Бк/г;МЗА, Бк;D-величина, ТБк;Значение;Возможность изменения;;;;;;;источника;;;;;рабочей поверхности;;;;;Общее описание источника;Область применения;Характеристики излучения (поток, энергия и прочие параметры);Технические данные (способы герметизации и контроля, показатели отклонения характеристик, варианты изготовления по согласованию с заказчиком и т.д.);Прочие примечания;Источник информации;
;;;;;;;Вид превращения;значение;единица измерения сек, мин, час, сутки, лет;;;;;;;;;;;;длина;ширина;высота;площадь;диаметр;длина;ширина;высота;площадь;диаметр;;;;;;;
1;ВНТ1-20;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;;74000000000;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;127;;21,5;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
2;ВНТ4-26;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;;1,1E+11;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;114;;26;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
3;ВНТ4-32-01;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;;нет;;2,2E+11;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;144,6;;31,5;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
4;ГНТ1-40;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;;7,4E+11;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;172,5;;40,4;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
5;ГНТ2-42;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;;3,7E+11;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;161;;42,5;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
6;ГНТ5-67;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;;7,4E+11;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;290;;132;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
7;ГНТ1-143;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;;8,8E+11;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;120;134;212,5;;;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
8;ГНТ3-26;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;;3,7E+11;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;144;;27,2;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
