Nam_Type_Istoch;List_RN
BKr5.Р06.201;криптон-85
BKr5.Р06.291;криптон-85
Т-12;плутоний-239; стронций-90; иттрий-90
Т-13;стронций-90; иттрий-90
Т-14;изотопы плутония
Т-14;плутоний-239
CS7P020005M;цезий-137
CS7P020010M;цезий-137
CS7P020050M;цезий-137
CS7P020100M;цезий-137
CS7P020250M;цезий-137
CS7P020500U;цезий-137
CS7P030001M;цезий-137
CS7P030005M;цезий-137
CS7P030010M;цезий-137
CS7P030050M;цезий-137
CS7P030100M;цезий-137
AM132150010M;америций-241
AM132150025M;америций-241
AM132150050M;америций-241
AM132150100U;америций-241
AM132150500U;америций-241
AM132240001M;америций-241
AM132240005M;америций-241
AM132240010M;америций-241
AM132240025M;америций-241
AM132240050M;америций-241
AM132240100U;америций-241
AM132240500U;америций-241
AM132330001M;америций-241
AM132330005M;америций-241
ОСГИ-3-2;кадмий-109
ОСГИ-3-2;кобальт-57
ОСГИ-3-2;кобальт-60
ОСГИ-3-2;марганец-54
ОСГИ-3-2;натрий-22
ОСГИ-3-2;олово-113
ОСАИ-М;радий-226
ОСАИ-М;торий-232
ОСАИ-М;уран-233
ОСАИ-М;уран-233; плутоний-238; плутоний-239
ОСАИ-М;уран-234
ОСАИ-М;уран-235
ОСАИ-М;уран-238
ОСГИ;америций-241
ОСГИ;америций-243
2П9-402;плутоний-239
2П9-403;плутоний-239
2П9-404;плутоний-239
2П9-405;плутоний-239
2П9-631;плутоний-239
2П9-632;плутоний-239
2П9-633;плутоний-239
2П9-634;плутоний-239
2СО;стронций-90; иттрий-90
2СО-132;стронций-90; иттрий-90
2СО-133;стронций-90; иттрий-90
2СО-134;стронций-90; иттрий-90
2СО-135;стронций-90; иттрий-90
2СО-136;стронций-90; иттрий-90
2СО-137;стронций-90; иттрий-90
СОМП-0,1;плутоний-239
СОМП-0,3;плутоний-239
СОМУ-10;уран-235
СОМУ-3;уран-235
СР17.111;селен-75
СР17.212;селен-75
СР17.311;селен-75
СР17.412;селен-75
СР17.512;селен-75
СР17.711;селен-75
Т;стронций-90; иттрий-90
Т(3);тритий
Т(3)-08;тритий
Т(3)-08М;тритий
Т-1;стронций-90; иттрий-90
Т-11;плутоний, стронций-90; иттрий-90
Т-11;плутоний-239
Т-11;стронций-90; иттрий-90
CO732020050M;кобальт-57
CO732020100M;кобальт-57
CO732020500U;кобальт-57
CO732040001M;кобальт-57
CO732040005M;кобальт-57
CO732040010M;кобальт-57
CO732040025M;кобальт-57
CO732040050M;кобальт-57
CO732040100M;кобальт-57
CO732040500U;кобальт-57
CO732050;кобальт-57
CO732050001M;кобальт-57
CO732050005M;кобальт-57
CO732050010M;кобальт-57
CO732050025M;кобальт-57
CO732050050M;кобальт-57
РС145Г1.3;самарий-145
РС145Г2.1;самарий-145
РС145Г2.2;самарий-145
РС145Г2.3;самарий-145
РЭКС;плутоний-238
РЭКС 200-SN;плутоний-238
РЭКС 2203;плутоний-238
РЭКС-2203-W-1М;плутоний-238
РЭКС-Д-SN;плутоний-238
С-10;прометий-147
С-13;стронций-90; иттрий-90
С-14;стронций-90; иттрий-90
С-15;стронций-90; иттрий-90
С-16;стронций-90; иттрий-90
С-2;стронций-90; иттрий-90
С-2;углерод-14
С-3;стронций-90; иттрий-90
С-4;стронций-90; иттрий-90
СГ-67.11.1 - СГ-67-11.2;калифорний-252
СГ-67-9.1 - СГ-67-9.2;калифорний-252
CS732010100U;цезий-137
CS732240001M;цезий-137
CS732240001M;цезий-137
6П9-631;плутоний-239
BA330240100U;барий-133
BA332240001M;барий-133
BA332240005M;барий-133
BA332240010M;барий-133
BA332240100U;барий-133
BA334020001M;барий-133
BA334020005M;барий-133
BA334020010M;барий-133
BA334020100U;барий-133
BA339020010U;барий-133
BA339160010U;барий-133
BH3;тритий
BH3.1;тритий
BH3.211;тритий
BH3.211;тритий
BH3.212;тритий
BH3.223;тритий
BH3.224;тритий
BH3.233;тритий
BH3.234;тритий
BH3.324;тритий
BH3.3x;тритий
BH3.411;тритий
BH3.412;тритий
ГС7.02.14;цезий-137
IR-192 GAMMAMED PLUS HDR 0.9MM;иридий-192
ГС7.02.8;цезий-137
ГС7.021;цезий-137
ГС7.021.1;цезий-137
ГС7.021.4;цезий-137
ГС7.021.5;цезий-137
ГС7.021.6;цезий-137
ГС7.029.2;цезий-137
ГС7.12;цезий-137
ГС75М11;селен-75
1П9-403;плутоний-239
1П9-404;плутоний-239
1П9-630;плутоний-239
1П9-631;плутоний-239
